City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Avarua,-21.2078,-159.775,25.03,69,75,6.17,CK,1698870761
1,Richards Bay,-28.783,32.0377,16.2,78,76,1.02,ZA,1698870565
2,Albany,42.6001,-73.9662,7.23,57,50,0.89,US,1698870575
3,Edinburgh Of The Seven Seas,-37.0676,-12.3116,14.67,91,51,4.05,SH,1698870761
4,Oranjemund,-28.55,16.4333,19.4,69,50,3.9,NA,1698870761
5,Grytviken,-54.2811,-36.5092,0.57,72,13,5.46,GS,1698870762
6,West Island,-12.1568,96.8225,25.99,83,100,6.69,CC,1698870762
7,Tiksi,71.6872,128.8694,-8.94,95,100,7.05,RU,1698870762
8,La Mira,18.035,-102.3266,29.22,73,88,2.78,MX,1698870762
9,Ha'Il,27.5219,41.6907,18.01,94,0,1.03,SA,1698870762
10,Yuzhno-Kurilsk,44.0306,145.8556,14.1,75,100,4.8,RU,1698870763
11,Sao Jose Da Coroa Grande,-8.8978,-35.1478,26.19,80,5,5.76,BR,1698870681
12,Gilleleje,56.122,12.3106,8.95,89,100,4.02,DK,1698870763
13,Ribeira Grande,38.5167,-28.7,21.22,94,75,6.69,PT,1698870763
14,Margate,51.3813,1.3862,13.83,88,71,2.68,GB,1698870711
15,Puerto Natales,-51.7236,-72.4875,13.25,47,0,9.77,CL,1698870739
16,Anadyr,64.75,177.4833,-4.72,100,75,3.0,RU,1698870763
17,Thompson,55.7435,-97.8558,-5.91,68,100,4.12,CA,1698870764
18,Blackmans Bay,-43.0167,147.3167,8.18,80,87,0.45,AU,1698870764
19,Woolgoolga,-30.1106,153.2007,16.69,72,71,2.07,AU,1698870764
20,Port Mathurin,-19.6833,63.4167,24.82,77,11,8.03,MU,1698870765
21,Utrik,11.2278,169.8474,27.48,80,39,7.4,MH,1698870765
22,Dongsheng,39.8161,109.9776,10.21,43,38,10.51,CN,1698870765
23,Wailua Homesteads,22.0669,-159.378,27.24,73,0,2.57,US,1698870765
24,Castillos,-34.1667,-53.8333,14.11,68,100,6.16,UY,1698870598
25,Turinsk,58.0458,63.696,-3.7,97,100,1.57,RU,1698870766
26,Bethel,41.3712,-73.414,8.69,72,75,4.12,US,1698870758
27,Valparaiso,-33.0393,-71.6273,17.22,66,0,4.12,CL,1698870678
28,Lebu,-37.6167,-73.65,11.62,73,30,4.65,CL,1698870766
29,Keflavik,64.0049,-22.5624,2.24,64,0,3.09,IS,1698870766
30,Hawaiian Paradise Park,19.5933,-154.9731,27.73,79,40,3.6,US,1698870766
31,Lihue,21.9789,-159.3672,27.58,72,0,2.57,US,1698870766
32,Stanley,54.868,-1.6985,7.25,87,0,2.57,GB,1698870767
33,Alofi,-19.0595,-169.9187,25.94,78,75,9.77,NU,1698870767
34,Colonia,50.9333,6.95,12.2,79,0,5.66,DE,1698870767
35,Palikir - National Government Center,6.9248,158.1611,27.41,76,98,4.24,FM,1698870553
36,Edd,13.9297,41.6925,30.11,55,58,8.36,ER,1698870767
37,Sainte-Rose,16.3324,-61.6979,30.1,70,20,5.14,GP,1698870767
38,San Patricio,28.017,-97.5169,19.53,29,0,3.05,US,1698870768
39,Kailua-Kona,19.6406,-155.9956,29.22,74,40,3.09,US,1698870768
40,Atafu Village,-8.5421,-172.5159,28.77,71,99,4.03,TK,1698870768
41,Port-Aux-Francais,-49.35,70.2167,3.7,78,10,11.84,TF,1698870768
42,Kerikeri,-35.2268,173.9474,16.06,91,77,2.9,NZ,1698870768
43,Invercargill,-46.4,168.35,11.68,91,99,0.89,NZ,1698870768
44,Papatowai,-46.5619,169.4708,11.25,87,100,1.84,NZ,1698870769
45,Longyearbyen,78.2186,15.6401,-16.26,82,0,1.27,SJ,1698870737
46,Nuuk,64.1835,-51.7216,2.71,87,100,8.49,GL,1698870769
47,Kaa-Khem,51.6833,94.7333,1.34,68,100,2.42,RU,1698870769
48,Oum Hadjer,13.2954,19.6966,32.6,36,100,0.93,TD,1698870769
49,Adamstown,-25.066,-130.1015,22.82,76,1,6.84,PN,1698870769
50,Yellowknife,62.456,-114.3525,-5.88,91,100,5.14,CA,1698870617
51,Vernon,50.2581,-119.2691,7.56,60,100,0.51,CA,1698870770
52,Iqaluit,63.7506,-68.5145,-4.15,92,100,6.71,CA,1698870770
53,Bilibino,68.0546,166.4372,-18.93,99,89,1.87,RU,1698870744
54,Udachny,66.4167,112.4,-24.2,75,81,2.55,RU,1698870770
55,Puerto Ayora,-0.7393,-90.3518,26.98,89,70,3.58,EC,1698870770
